0,13.0885,11.2182,3.59469,1328.0,85.0,11.2182,3.59469,1.0,
100,13.0863,11.2166,3.59362,1328.0,85.0,11.2166,3.59362,1.0,
200,13.0798,11.212,3.5904,1328.0,85.0,11.212,3.5904,1.0,
300,13.0689,11.2042,3.58503,1328.0,85.0,11.2042,3.58503,1.0,
400,13.0536,11.1933,3.57751,1328.0,85.0,11.1933,3.57751,1.0,
500,13.034,11.1794,3.56785,1328.0,85.0,11.1794,3.56785,1.0,
600,13.0101,11.1623,3.55603,1328.0,85.0,11.1623,3.55603,1.0,
700,12.9818,11.1421,3.54207,1328.0,85.0,11.1423,3.54207,1.0,
800,12.9491,11.1188,3.52597,1328.0,85.0,11.1188,3.52597,1.0,
900,12.9121,11.0924,3.50771,1328.0,85.0,11.0924,3.50771,1.0,
1000,12.8707,11.0629,3.48731,1328.0,85.0,11.0629,3.48731,1.0,
1100,12.825,11.0303,3.46475,1328.0,85.0,11.0303,3.46475,1.0,
1200,12.7749,10.9946,3.44005,1328.0,85.0,10.9946,3.44005,1.0,
1221.5,12.7636,10.9866,3.43447,1328.0,85.0,10.9866,3.43447,1.0,
1221.5,12.1663,10.3554,0,57822.0,0.0,10.3554,0,1.0,
1300,12.125,10.3094,0,57822.0,0.0,10.3094,0,1.0,
1400,12.0692,10.2493,0,57822.0,0.0,10.2493,0,1.0,
1500,12.0099,10.1871,0,57822.0,0.0,10.1871,0,1.0,
1600,11.9468,10.1226,0,57822.0,0.0,10.1226,0,1.0,
1700,11.8799,10.0554,0,57822.0,0.0,10.0554,0,1.0,
1800,11.809,9.98525,0,57822.0,0.0,9.98525,0,1.0,
1900,11.734,9.91177,0,57822.0,0.0,9.91177,0,1.0,
2000,11.6548,9.83467,0,57822.0,0.0,9.83467,0,1.0,
2100,11.5712,9.75364,0,57822.0,0.0,9.75364,0,1.0,
2200,11.4831,9.66837,0,57822.0,0.0,9.66837,0,1.0,
2300,11.3904,9.57853,0,57822.0,0.0,9.57853,0,1.0,
2400,11.293,9.48381,0,57822.0,0.0,9.48381,0,1.0,
2500,11.1907,9.3839,0,57822.0,0.0,9.3839,0,1.0,
2600,11.0834,9.27849,0,57822.0,0.0,9.27849,0,1.0,
2700,10.9709,9.16726,0,57822.0,0.0,9.16726,0,1.0,
2800,10.8532,9.04988,0,57822.0,0.0,9.04988,0,1.0,
2900,10.7301,8.92606,0,57822.0,0.0,8.92606,0,1.0,
3000,10.6015,8.79547,0,57822.0,0.0,8.79547,0,1.0,
3100,10.4673,8.6578,0,57822.0,0.0,8.6578,0,1.0,
3200,10.3273,8.51273,0,57822.0,0.0,8.51273,0,1.0,
3300,10.1813,8.35995,0,57822.0,0.0,8.35995,0,1.0,
3400,10.0294,8.19915,0,57822.0,0.0,8.19915,0,1.0,
3480,9.90349,8.06458,0,57822.0,0.0,8.06458,0,1.0,
3480,5.56645,13.6886,7.22538,57822.0,312.0,13.6886,7.22538,1.0,
3500,5.55641,13.6837,7.22559,57822.0,312.0,13.6837,7.22559,1.0,
3600,5.50642,13.6595,7.22647,57822.0,312.0,13.6595,7.22647,1.0,
3630,5.49145,13.6523,7.2267,57822.0,312.0,13.6523,7.2267,1.0,
3630,5.49145,13.6523,7.2267,57822.0,312.0,13.6523,7.2267,1.0,
3700,5.45657,13.568,7.19492,57822.0,312.0,13.568,7.19492,1.0,
3800,5.40681,13.4495,7.15006,57822.0,312.0,13.4495,7.15006,1.0,
3900,5.35706,13.333,7.10561,57822.0,312.0,13.333,7.10561,1.0,
4000,5.30724,13.2176,7.06136,57822.0,312.0,13.2176,7.06136,1.0,
4100,5.25729,13.103,7.01711,57822.0,312.0,13.103,7.01711,1.0,
4200,5.20713,12.9884,6.97264,57822.0,312.0,12.9884,6.97264,1.0,
4300,5.15669,12.8731,6.92772,57822.0,312.0,12.8731,6.92772,1.0,
4400,5.1059,12.7567,6.88216,57822.0,312.0,12.7567,6.88216,1.0,
